Time [s],Packet ID,MOSI,MISO
63.250069958333334,0,0x6013,0xFFFF
63.250098874999999,0,0x4C4C,0x0202
63.250115166666667,0,0x7013,0xFFFF
63.250130416666664,0,0x4D4D,0x0000
63.256051458333332,0,0x6013,0xFFFF
63.256070874999999,0,0x4E4E,0x0000
63.256086958333334,0,0x6022,0xFFFF
63.256102083333332,0,0x4F4F,0x0000
68.027725541666669,0,0x201E,0xFFFF
68.027747708333337,0,0x0404,0xFFFF
68.277807124999995,0,0x201E,0xFFFF
68.277833958333332,0,0x0202,0xFFFF
69.918379000000002,0,0x201E,0xFFFF
69.918408541666665,0,0x0404,0xFFFF
70.918723708333332,0,0x201E,0xFFFF
70.918754375000006,0,0x0202,0xFFFF
74.920113416666666,0,0x201E,0xFFFF
74.920142999999996,0,0x0404,0xFFFF
75.920456541666667,0,0x201E,0xFFFF
75.920483666666669,0,0x0202,0xFFFF
79.111571166666664,0,0x201E,0xFFFF
79.111600333333328,0,0x0101,0xFFFF
