+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
+-----------+---------+----------------+----------+------------+
|    READ   |    X    |      IRQ2      |          |   0xffff   |
|    READ   |    X    |     ID(g)      |          |   0xcbcb   |
|   WRITE   |    X    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    X    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    X    |     ID(g)      |          |   0xcbcb   |
|    READ   |    X    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    X    |    PCMTXHI     |          |   0x1313   |
|    READ   |    X    |    PCMTXHI     |          |   0x1313   |
|   WRITE   |    X    |  MSTRSTAT(g)   |          |   0xffff   |
|    READ   |    X    |  MSTRSTAT(g)   |          |   0x1f1f   |
|   WRITE   |    X    |    PCMTXHI     |          |   0x1313   |
|    READ   |    X    |    PCMTXHI     |          |   0x1313   |
| RAM-WRITE |    X    |                |  0x1c1   | 0x12345678 |
|  RAM-READ |    X    |                |  0x1c1   | 0x12345678 |
|    READ   |    X    | Unknown (0x7e) |          |   0x202    |
|   WRITE   |    X    | Unknown (0x7e) |          |   0x202    |
|   WRITE   |    X    | Unknown (0x7e) |          |   0x808    |
|   WRITE   |    X    | Unknown (0x7e) |          |   0xe0e    |
|   WRITE   |    X    | Unknown (0x7e) |          |    0x0     |
|   WRITE   |    X    |     JMPEN      |          |    0x0     |
|   WRITE   |    X    |     JMP0LO     |          |    0x0     |
|   WRITE   |    X    |     JMP0HI     |          |    0x0     |
|   WRITE   |    X    |     JMP1LO     |          |    0x0     |
|   WRITE   |    X    |     JMP1HI     |          |    0x0     |
|   WRITE   |    X    |     JMP2LO     |          |    0x0     |
|   WRITE   |    X    |     JMP2HI     |          |    0x0     |
|   WRITE   |    X    |     JMP3LO     |          |    0x0     |
|   WRITE   |    X    |     JMP3HI     |          |    0x0     |
|   WRITE   |    X    |     JMP4LO     |          |    0x0     |
|   WRITE   |    X    |     JMP4HI     |          |    0x0     |
|   WRITE   |    X    |     JMP5LO     |          |    0x0     |
|   WRITE   |    X    |     JMP5HI     |          |    0x0     |
|   WRITE   |    X    |     JMP6LO     |          |    0x0     |
|   WRITE   |    X    |     JMP6HI     |          |    0x0     |
|   WRITE   |    X    |     JMP7LO     |          |    0x0     |
|   WRITE   |    X    |     JMP7HI     |          |    0x0     |
| RAM-WRITE |    X    |                |  0x63d   |    0x0     |
| RAM-WRITE |    X    |                |  0x63e   |    0x0     |
| RAM-WRITE |    X    |                |  0x63f   |    0x0     |
| RAM-WRITE |    X    |                |  0x640   |    0x0     |
| RAM-WRITE |    X    |                |  0x641   |    0x0     |
| RAM-WRITE |    X    |                |  0x642   |    0x0     |
| RAM-WRITE |    X    |                |  0x643   |    0x0     |
| RAM-WRITE |    X    |                |  0x644   |    0x0     |
| RAM-WRITE |    X    |                |  0x54e   |    0x0     |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x10818600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x10958600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x10e58600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x112d8600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x11518600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x11618600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x11b98600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x11e58600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x12218600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x126d8600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x127d8600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x12898600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x12998600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x12a58600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x15ed8600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x16058600 |
| RAM-WRITE |    X    |                |  0x54f   |  0x5c000   |
| RAM-WRITE |    X    |                |  0x54f   | 0xf018000  |
| RAM-WRITE |    X    |                |  0x54f   | 0xdccd000  |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0xefd8000  |
| RAM-WRITE |    X    |                |  0x54f   | 0x1108ca00 |
| RAM-WRITE |    X    |                |  0x54f   | 0xc834400  |
| RAM-WRITE |    X    |                |  0x54f   | 0x1078ea00 |
| RAM-WRITE |    X    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x10d58600 |
| RAM-WRITE |    X    |                |  0x54f   | 0xadb4400  |
| RAM-WRITE |    X    |                |  0x54f   | 0x1078ea00 |
| RAM-WRITE |    X    |                |  0x54f   | 0x45dc000  |
| RAM-WRITE |    X    |                |  0x54f   | 0x10bd8600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x176c0a00 |
| RAM-WRITE |    X    |                |  0x54f   | 0xadf4400  |
| RAM-WRITE |    X    |                |  0x54f   | 0xc6f6a00  |
| RAM-WRITE |    X    |                |  0x54f   | 0x45dc200  |
| RAM-WRITE |    X    |                |  0x54f   | 0x10d58600 |
| RAM-WRITE |    X    |                |  0x54f   | 0x176c0a00 |
| RAM-WRITE |    X    |                |  0x54f   | 0x1078ca00 |
| RAM-WRITE |    X    |                |  0x54f   | 0x16b0ca00 |
| RAM-WRITE |    X    |                |  0x54f   | 0x3a50400  |
| RAM-WRITE |    X    |                |  0x54f   | 0x451ca00  |
