+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
| RAM-WRITE |    X    |                |  0x611   |    0x0     |
| RAM-WRITE |    X    |                |  0x35c   |  0xa00000  |
|   WRITE   |    X    |     CALR0      |          |    0x0     |
|   WRITE   |    X    |     CALR1      |          |    0x0     |
|   WRITE   |    X    |     CALR2      |          |   0x101    |
|   WRITE   |    X    |     CALR3      |          |   0x8080   |
|    READ   |    X    |     CALR3      |          |   0x8181   |
|    READ   |    X    |     CALR3      |          |   0x8181   |
|    READ   |    X    |     CALR3      |          |   0x8181   |
|    READ   |    X    |     CALR3      |          |    0x0     |
|    READ   |    X    | Unknown (0x7e) |          |   0x303    |
|  RAM-READ |    X    |                |  0x602   |  0xb00000  |
| RAM-WRITE |    X    |                |  0x60c   |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |    0x0     |
|    READ   |    X    |    ENHANCE     |          |    0x0     |
|   WRITE   |    X    |    ENHANCE     |          |    0x0     |
| RAM-WRITE |    X    |                |  0x602   |  0x700000  |
| RAM-WRITE |    X    |                |  0x613   |  0x100000  |
| RAM-WRITE |    X    |                |  0x602   |  0x600000  |
|  RAM-READ |    X    |                |  0x2ff   | 0x3d70a20  |
|  RAM-READ |    X    |                |   0x3    | 0x3d67450  |
| RAM-WRITE |    X    |                |  0x60f   |    0x0     |
| RAM-WRITE |    X    |                |  0x602   |  0x400000  |
|   WRITE   |    X    |    ENHANCE     |          |    0x0     |
|  RAM-READ |    X    |                |  0x2ff   | 0x3d70a20  |
|  RAM-READ |    X    |                |   0x3    | 0x3d67450  |
|   WRITE   |    X    |     CALR0      |          |    0x0     |
|   WRITE   |    X    |     CALR1      |          |   0xc0c0   |
|   WRITE   |    X    |     CALR2      |          |   0x1818   |
|   WRITE   |    X    |     CALR3      |          |   0x8080   |
|    READ   |    X    |     CALR3      |          |   0x8585   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
