+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1078ea00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10d58600 |
| RAM-WRITE |    0    |                |  0x54f   | 0xadb4400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1078ea00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dc000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10bd8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x176c0a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0xadf4400  |
| RAM-WRITE |    0    |                |  0x54f   | 0xc6f6a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dc200  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10d58600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x176c0a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1078ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x16b0ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x3a50400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1e9d8200 |
| RAM-WRITE |    0    |                |  0x54f   | 0xdf40a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1108ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0xdf34400  |
| RAM-WRITE |    0    |                |  0x54f   | 0xdf4ea00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x11218600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |
| RAM-WRITE |    0    |                |  0x54f   | 0x469c000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x11158600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x111d8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14800a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0xd58ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x3018400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x111cca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |
